Class,image,SymptomAbnormality,accordance with ontology (Symptom),Color Abnormality,accordance with ontology (Color),ShapeOfSymptomAbnormality,accordance with ontology (Shape)
Leaf scald,leaf_scald (128),Dry,0,Brown,0,Linear,0
Leaf scald,leaf_scald (302),Lesion,1,Brown,0,Linear,0
Narrow Brown Leaf Spot,narrow_brown1.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown2.jpg,Spot,1,YellowishBrown,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown3.jpg,Spot,1,Brown,1,Circular,0
Narrow Brown Leaf Spot,narrow_brown4.jpg,Lesion,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown5.jpg,Spot,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown6.jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown7.jpg,Spot,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown8.jpg,Spot,1,Brown,1,Circular,0
Narrow Brown Leaf Spot,narrow_brown9.jpg,Lesion,1,Red,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown10.jpg,Spot,1,Brown,1,Oval,0
Narrow Brown Leaf Spot,"narrow_brown (1),jpg",Spot,0,RedBrown,0,Oval,0
Narrow Brown Leaf Spot,narrow_brown (8).jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown (13).jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown (27).jpg,Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown (31),Spot,0,Brown,1,Oval,0
Narrow Brown Leaf Spot,narrow_brown (81),Lesion,1,YellowishBrown,0,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (14),Spot,0,Brown,1,Circular,0
Narrow Brown Leaf Spot,narrow_brown_val (22),Lesion,1,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (32),Spot,0,Brown,1,Linear,1
Narrow Brown Leaf Spot,narrow_brown_val (33),Lesion,1,Red,0,Linear,1
